created_at,text,sentiment_score
2022-11-28T20:17:55.000Z,RT @RKNDC_: @AirJvlen @BigupsQ @Damn_Tea @iamcleotrapa They was just tryna get active to get bro one on one wit the black panther and dip b…,7.0095
2022-11-28T20:18:19.000Z,RT @RAGGEDYROYAL: ok so I saw Black Panther and I cannot BELIEVE y’all were shipping Shuri and Namor,6.48
2022-11-28T20:17:54.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:18:11.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:17:57.000Z,"RT @DailyLoud: Actor Tenoch Huerta, who played “Namor” in Black Panther 2, goes off on racist Mexican Media outlets who said “Blacks &amp; Brow…",3.409
2022-11-28T20:17:14.000Z,@EmansReviews @RaulTweet @GameRant @MarvelStudios Did anyone watch Black Panther 2 if so...shouldn't the #RecastTChalla movement be dead https://t.co/Of1uvTSwhr,1.938
2022-11-28T20:18:26.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:18:44.000Z,"nishinoyas-angel: Okay, okay, I don’t want to be the one person focusing on the white people in Black Panther Wakanda Forever but￼ Val’s response when Ross goes “could you imagine how destructive it would be if a place like America got its... https://t.co/rddgUE87cn",3.235
2022-11-28T20:18:42.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:19:05.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:18:51.000Z,@Wolf_Dhesi @CultureCrave Disney is absolutely not happy about Avatar coming out. Avatar will have to be the 4th or 5th highest grossing film EVER to break even,2.2305
2022-11-28T20:18:48.000Z,i got the Black Panther 2 score stuck in my head for whatever reason 🚶🏻,4.1105
2022-11-28T20:18:57.000Z,"skullsontess07: The black panther movies are objectively the best marvel movies. You are allowed to have other personal favorites, but black panther is top tier. You can tell how much love Ryan Coogler has for the comics and absolute passion... https://t.co/TjgVkIC50T",9.7725
2022-11-28T20:19:00.000Z,"RT @theblackpanther: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionall…",5.7655
2022-11-28T20:19:05.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:19:11.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:19:10.000Z,"@Fandango Black Panther: Wakanda Forever, Glass Onion, and Devotion",7.294
2022-11-28T20:19:18.000Z,"RT @meganwillissss: Almost 40, married mother of 2, I like black panther marvel spider-man movies, I like rock music. worth a date https://…",9.139
2022-11-28T20:19:11.000Z,"RT @DailyLoud: Actor Tenoch Huerta, who played “Namor” in Black Panther 2, goes off on racist Mexican Media outlets who said “Blacks &amp; Brow…",3.409
2022-11-28T20:19:21.000Z,@Canaansdad1987 present,5
