created_at,text,sentiment_score
2022-11-28T20:05:06.000Z,"@Anitaaaa_W @NYDailyNews I hope the King does make that happen.  Reading the headline, if true, it says it all, the greed and desperation is engulfing",5
2022-11-28T20:06:01.000Z,"RT @indrhaeni: “the princess and the queen were both commanded to attend [the feast], with all their children. in a show of amity, each wom…",5
2022-11-28T20:07:52.000Z,"RT @KirkWrites79: Between The Woman King, Wakanda Forever and Till — Black women have been carrying this year!",5
2022-11-28T20:07:35.000Z,@ohhhhkilla Tragic 😭😭 how dare you!!,2.706
2022-11-28T20:05:28.000Z,"RT @ivan_8848: Stephen King twitted that the world would be a better place if a woman was in charge of Russia.

So I have made this video a…",7.202
2022-11-28T20:07:54.000Z,"@mavericksmovies Avatar: The Way of Water
Babylon
The Banshees of Inisherin
The Batman
Black Panther: Wakanda Forever
Empire of Light
Everything Everywhere All at Once
The Fabelmans
Guillermo del Toro’s Pinocchio
She Said
TÁR
Top Gun: Maverick
White Noise
The Woman King
Women Talking",3.3
2022-11-28T20:03:55.000Z,"RT @Anitaaaa_W: @NYDailyNews Lol, the entitlement of this woman. Just wait how miffed she’ll be when the King has the power to strip their…",7.1075
2022-11-28T20:07:22.000Z,Stephen King needs medical attention. Clearly has never met a Russian woman. https://t.co/zeB9Gz79Hp,7.0095
2022-11-28T20:07:58.000Z,This woman at the pet store told me her dog was blind and deaf after the dog ran up to me so I could pet him. https://t.co/modrjlvZir,2.9905
2022-11-28T20:10:24.000Z,Especially after going through a “self love” phase or just getting yourself together! gotta be king status to get in ya body ?! https://t.co/8VD0xjWtPa,8.1845
2022-11-28T20:10:36.000Z,"Assembling people's children, wasting resources &amp; burning the flags of US &amp; Israel 😂😂😂

Can't y'all do any better?

It's about time every Muslim nation is left in the hands of Women at least even if they don't invent, they don't ass lick or radicalise people's children",5.1935
2022-11-28T20:08:53.000Z,Motherfucker tried to say I smell or something?!?! https://t.co/wguj2wHE2R,1.596
2022-11-28T20:08:08.000Z,"While these clueless inept Men were preaching to us that invention is for the whites &amp; heaven for 4, a Woman in Pakistan 'Benazir Bhutto' would lead her country to become the 1st Muslim nation with nuclear power while in Saudi the King is kissing the Ass of US &amp; Iran is busy",6.591
2022-11-28T20:10:18.000Z,"RT @the49thstreet: ...featuring Terri &amp; “Give Me. IceBeatChillz returns with “Superwoman”, an ode to his special woman. 
IceBeatChillz is s…",7.0095
2022-11-28T20:11:54.000Z,"The movie ""The woman king"" made me realize dat we women are more than just a housewife,more than just stay home,cook,clean, slaves ..we are bigger than that! wiser, smarter nd we have more potentials than u can ever imagine. We are warriors,fierce nd strong.💪 WE ARE KINGS!!🦁👑",9.088
